name,company,location,average_salary
Nhan Vien Kinh Doanh Chi Nhanh TP Can Tho (Thu Nhap Upto 20Tr/Thang - Khong Yeu Cau Kinh Nghiem),"SAPO Technology., JSC",Can Tho,15.0
[TP THAI BINH] NHAN VIEN TU VAN BAN HANG,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Thai Binh,8.5
Nhan Vien Ky Thuat San Xuat - Quan 9 (Tieng Nhat hoac Anh),CareerLink's Client,TP HCM,13.0
[TP. Vinh - Nghe An] Nhan Vien Tu Van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Nghe An,9.0
Nhan Vien QC Kiem Phat Trien San Pham - Binh Thanh (Tieng Nhat + Tieng Anh),CareerLink's Client,TP HCM,17.6
Thu Kho,Cong Ty CP Eurowindow,Binh Duong,8.5
QA Leader/ Supervisor - Ben Cat (Tieng Nhat N3),CareerLink's Client,Binh Duong,13.5
[LE THUY - QUANG BINH] NHAN VIEN TU VAN BAN HANG,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Quang Binh,8.5
Production Leader/ Supervisor - Ben Cat (Tieng Nhat N3),CareerLink's Client,Binh Duong,13.5
Nhan Vien QC - Binh Thanh (Tieng Nhat N3),CareerLink's Client,TP HCM,8.5
[Gia Loc - Hai Duong] Nhan Vien Tu Van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Hai Duong,8.5
[DONG HOI - QUANG BINH] NHAN VIEN TU VAN BAN HANG,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Quang Binh,8.5
[Ba Don - Quang Binh] Nhan Vien Tu Van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Quang Binh,7.0
Nhan Vien Kinh Doanh Thi Truong Chi Nhanh TP Bien Hoa - Dong Nai (Thu Nhap 10Tr - 15Tr/Thang),"SAPO Technology., JSC",Dong Nai,12.5
"[Kim Son, Ninh Binh] Nhan Vien Tu Van Ban Hang",Cong Ty Co Phan Ban Le Ky Thuat So FPT,Ninh Binh,6.0
[Yen Thanh - Nghe An] Nhan Vien Tu Van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Nghe An,8.0
