name,company,location,average_salary
Nhan Vien Ban Hang Ha Noi (Full Time / Part Time),Cong Ty TNHH Mot Thanh Vien Thuong Mai Va Dau Tu Lien A Chau,Ba Ria - Vung Tau,6.5
Nhan Vien Ban Hang Ha Noi (Full Time / Part Time),Cong Ty TNHH Mot Thanh Vien Thuong Mai Va Dau Tu Lien A Chau,Binh Duong,6.5
Nhan Vien Ban Hang Ha Noi (Full Time / Part Time),Cong Ty TNHH Mot Thanh Vien Thuong Mai Va Dau Tu Lien A Chau,Dong Nai,6.5
Board Of Management'S Interpreter,Cong Ty Co Phan Duoc Hau Giang,Can Tho,21.5
"Nhan Vien QC Line -Thuc Pham (Lam Theo Ca) O Ben Cat, My Phuoc 1",Cong Ty TNHH Lotte Viet Nam,Binh Duong,9.0
Chuyen Vien Ke Hoach Kinh Doanh (Fmcg -  Nha Trang),Cong Ty TNHH Thuc Pham Orion Vina,Khanh Hoa,15.0
Giam Sat Ban Hang - Banh Keo (Soc Trang),Cong Ty TNHH Thuc Pham Orion Vina,Soc Trang,20.0
Chuyen Vien Ke Hoach Kinh Doanh (Fmcg - Bac Ninh),Cong Ty TNHH Thuc Pham Orion Vina,Bac Ninh,15.0
Nhan Vien Van Hanh Thuong Mai (Trade Operation Officer) _Thoi Vu 6 Thang,Cong ty CP Chuoi Thuc Pham TH,Ha Noi,9.5
Nhan Vien Van Hanh Thuong Mai (Trade Operation Officer) _Thoi Vu 6 Thang,Cong ty CP Chuoi Thuc Pham TH,TP HCM,9.5
Nhan Vien Phuc Vu,Cong Ty TNHH La Cam (He Thong Tra Sua Va Xien Que Hot&Cold),TP HCM,5.5
Nhan Vien Pha Che (He Thong Tra Sua Hot&cold),Cong Ty TNHH La Cam (He Thong Tra Sua Va Xien Que Hot&Cold),TP HCM,6.0
Nhan Vien Thong Ke - Nhan Viec Ngay,Cong Ty TNHH Thuc Pham Dary,TP HCM,12.0
Ke Toan Gia Thanh - Nhan Viec Ngay,Cong Ty TNHH Thuc Pham Dary,TP HCM,14.5
Nhan Vien Giao Hang Tai Mien Trung,Cong Ty TNHH Shopee Express,Nghe An,11.0
Nhan Vien Giao Hang Tai Mien Trung,Cong Ty TNHH Shopee Express,Quang Binh,11.0
Nhan Vien Giao Hang Tai Mien Trung,Cong Ty TNHH Shopee Express,Quang Nam,11.0
Nhan Vien Giao Hang Tai Mien Trung,Cong Ty TNHH Shopee Express,Quang Ngai,11.0
Nhan Vien Giao Hang Tai Mien Trung,Cong Ty TNHH Shopee Express,Dak Nong,11.0
Nhan Vien Giao Hang Tai Mien Dong Nam Bo,Cong Ty TNHH Shopee Express,Binh Duong,11.0
Nhan Vien Giao Hang Tai Mien Dong Nam Bo,Cong Ty TNHH Shopee Express,Binh Phuoc,11.0
Nhan Vien Giao Hang Tai Mien Dong Nam Bo,Cong Ty TNHH Shopee Express,Tay Ninh,11.0
Nhan Vien Giao Hang Tai Mien Dong Nam Bo,Cong Ty TNHH Shopee Express,Dong Nai,11.0
Nhan Vien Giao Hang Tai Mien Tay Nam Bo,Cong Ty TNHH Shopee Express,Long An,11.0
Nhan Vien Kho Giao Nhan Tai Mien Trung Va Mien Nam,Cong Ty TNHH Shopee Express,TP HCM,8.5
Nhan Vien Kho Giao Nhan Tai Mien Trung Va Mien Nam,Cong Ty TNHH Shopee Express,Lam Dong,8.5
Nhan Vien Kho Giao Nhan Tai Mien Trung Va Mien Nam,Cong Ty TNHH Shopee Express,Dong Nai,8.5
Truong Tram Giao Nhan Tai Mien Trung Va Mien Nam,Cong Ty TNHH Shopee Express,TP HCM,10.0
Truong Tram Giao Nhan Tai Mien Trung Va Mien Nam,Cong Ty TNHH Shopee Express,Long An,10.0
Truong Tram Giao Nhan Tai Mien Trung Va Mien Nam,Cong Ty TNHH Shopee Express,Quang Nam,10.0
Truong Tram Giao Nhan Tai Mien Trung Va Mien Nam,Cong Ty TNHH Shopee Express,Tay Ninh,10.0
Truong Tram Giao Nhan Tai Mien Trung Va Mien Nam,Cong Ty TNHH Shopee Express,Dong Nai,10.0
Nhan Vien Giao Hang Tai Mien Bac,Cong Ty TNHH Shopee Express,Bac Giang,11.0
Nhan Vien Giao Hang Tai Mien Bac,Cong Ty TNHH Shopee Express,Hoa Binh,11.0
Nhan Vien Giao Hang Tai Mien Bac,Cong Ty TNHH Shopee Express,Hung Yen,11.0
Nhan Vien Giao Hang Tai Mien Bac,Cong Ty TNHH Shopee Express,Lao Cai,11.0
Nhan Vien Giao Hang Tai Mien Bac,Cong Ty TNHH Shopee Express,Phu Tho,11.0
Nhan Vien Giao Hang Tai Ha Noi,Cong Ty TNHH Shopee Express,Ha Noi,11.0
Nhan Vien Kho Giao Nhan Tai Mien Bac,Cong Ty TNHH Shopee Express,Hai Duong,8.5
Nhan Vien Kho Giao Nhan Tai Mien Bac,Cong Ty TNHH Shopee Express,Lao Cai,8.5
Nhan Vien Kho Giao Nhan Tai Mien Bac,Cong Ty TNHH Shopee Express,Phu Tho,8.5
Nhan Vien Kho Giao Nhan Tai Mien Bac,Cong Ty TNHH Shopee Express,Thanh Hoa,8.5
Nhan Vien Kho Giao Nhan Tai Ha Noi,Cong Ty TNHH Shopee Express,Ha Noi,8.5
Truong Tram Giao Nhan Tai Mien Bac,Cong Ty TNHH Shopee Express,Cao Bang,10.0
Truong Tram Giao Nhan Tai Mien Bac,Cong Ty TNHH Shopee Express,Hai Phong,10.0
Truong Tram Giao Nhan Tai Mien Bac,Cong Ty TNHH Shopee Express,Hung Yen,10.0
Truong Tram Giao Nhan Tai Mien Bac,Cong Ty TNHH Shopee Express,Nam Dinh,10.0
Truong Tram Giao Nhan Tai Mien Bac,Cong Ty TNHH Shopee Express,Quang Ninh,10.0
Truong Tram Giao Nhan Tai Ha Noi,Cong Ty TNHH Shopee Express,Ha Noi,10.0
Nhan Vien Thu Ngan,Cong Ty TNHH Thuong Mai Vhc - Sieu Thi Dien May Hc,Ha Noi,7.0
Nhan Vien Ke Toan Kho Biet Tieng Hoa,Cong Ty TNHH MTV Cong Nghiep D&a Viet Nam,Long An,11.5
"Vietinbank Ha Noi, Bac Giang, Bac Ninh - Chuyen Vien Tu Van Tai Chinh Kenh Lien Ket Ngan Hang",Cong Ty TNHH Manulife (Viet Nam),Ha Noi,25.0
"Vietinbank Ha Noi, Bac Giang, Bac Ninh - Chuyen Vien Tu Van Tai Chinh Kenh Lien Ket Ngan Hang",Cong Ty TNHH Manulife (Viet Nam),Bac Giang,25.0
"Vietinbank Ha Noi, Bac Giang, Bac Ninh - Chuyen Vien Tu Van Tai Chinh Kenh Lien Ket Ngan Hang",Cong Ty TNHH Manulife (Viet Nam),Bac Ninh,25.0
"Vietinbank Ha Noi, Bac Giang, Bac Ninh - Chuyen Vien Tu Van Tai Chinh Kenh Lien Ket Ngan Hang",Cong Ty TNHH Manulife (Viet Nam),Lai Chau,25.0
"Vietinbank Ha Noi, Bac Giang, Bac Ninh - Chuyen Vien Tu Van Tai Chinh Kenh Lien Ket Ngan Hang",Cong Ty TNHH Manulife (Viet Nam),Lang Son,25.0
Junior Digital Marketing (Contract 12 Months),Cong Ty TNHH Bao Hiem Nhan Tho Fwd Viet Nam,TP HCM,9.0
Nhan Vien Ke Toan - Lam Viec Theo Hop Dong 8 Thang,Cong Ty TNHH Bao Hiem Nhan Tho Fwd Viet Nam,TP HCM,10.0
Chuyen Vien Kinh Doanh,Cong Ty Co Phan Dau Tu Thiet Bi Tham My Osaka,TP HCM,22.5
"Nhan Vien Ban Hang (Full Time) - Quan 2, Quan 3, Quan 7",Cong Ty TNHH Paris Baguette Viet Nam,TP HCM,7.0
Giam Doc Dieu Hanh (Nu),Cong Ty Co Phan Van Chuyen Gia Bao,Ha Noi,40.0
Can Bo Ky Thuat Noi Nghiep,Cong Ty TNHH Xay Dung Tu Lap,Ha Tinh,16.0
Can Bo Ky Thuat Noi Nghiep,Cong Ty TNHH Xay Dung Tu Lap,Lai Chau,16.0
Can Bo Ky Thuat Noi Nghiep,Cong Ty TNHH Xay Dung Tu Lap,Phu Tho,16.0
Can Bo Ky Thuat Noi Nghiep,Cong Ty TNHH Xay Dung Tu Lap,Phu Yen,16.0
Chu Quan San Xuat Biet Tieng Trung Tot,Cong Ty TNHH AAC Technologies Viet Nam,Bac Ninh,27.5
"Nhan Vien Bep Banh (Quan 3, Quan 7)",Cong Ty TNHH Paris Baguette Viet Nam,TP HCM,7.0
Quan Ly Trinh Duoc Thu Nhap 30-40 Trieu,Cong Ty Co Phan Duoc Pham Ecoland,Ha Noi,35.0
Cong Tac Vien Livestream,Cong Ty Co Phan Cong Nghe Sen Do,TP HCM,8.5
Trinh Duoc Vien Thu Nhap 25-40 Trieu,Cong Ty Co Phan Duoc Pham Ecoland,Ha Noi,25.5
Ky Su Xay Dung (Lam Viec Tai Van Phong & Cong Trinh),Cong Ty Co Phan Xay Dung Cong Nghiep Chi Thanh,TP HCM,17.5
Tai Xe Lai Oto,Cong Ty Co Phan Van Tai Ao Shipping,TP HCM,9.5
Giao Vien Tieu Hoc,Cong Ty TNHH Giao Duc Duy Thinh,TP HCM,11.0
Pho Hieu Truong Chuyen Mon Trung Hoc,Cong Ty TNHH Giao Duc Duy Thinh,TP HCM,25.0
Oversea Purchasing (Chuyen Vien Mua Hang Nuoc Ngoai),Cong Ty Co Phan BT INTERNATIONAL,TP HCM,15.0
Ke Toan Noi Bo (Di Lam Ngay),Cong Ty Co Phan Dau Tu Va Phat Trien Lac Hong,Ha Noi,11.5
Nhan Vien Tu Van Ban Hang Tai Trung Tam Thuong Mai (Nhan Viec Ngay),Cong Ty TNHH Triple Tree Aroma,Ha Noi,7.5
Nhan Vien Tu Van Ban Hang Tai Trung Tam Thuong Mai (Nhan Viec Ngay),Cong Ty TNHH Triple Tree Aroma,TP HCM,7.5
Nhan Vien Tu Van Ban Hang Tai Trung Tam Thuong Mai (Nhan Viec Ngay),Cong Ty TNHH Triple Tree Aroma,Bac Ninh,7.5
Nhan Vien Tu Van Ban Hang Tai Trung Tam Thuong Mai (Nhan Viec Ngay),Cong Ty TNHH Triple Tree Aroma,Nghe An,7.5
Nhan Vien Tu Van Tai Van Phong (Telesales),Thien Chau Media,TP HCM,8.0
Ke Toan Cong No Phai Tra - Tscd - Ccdc,Cong ty Co Phan Vacxin Viet Nam,TP HCM,12.5
Nhan Vien Ban Hang Cua Hang / Sieu Thi,Cong Ty  TNHH Dao Hai San,TP HCM,7.0
QA Leader,Cong ty TNHH co khi Manh Quang,Ha Noi,16.0
Cong Nhan Nganh May,(Xi Nghiep May Do Quan Doi) Cong Ty TNHH MTV Tong Cong Ty 28,TP HCM,12.5
"Nhan Vien Cua Hang Kohnan Japan_Quan 1, Quan 7",Cong Ty TNHH Kohnan Viet Nam,TP HCM,7.0
Nhan Vien Telesale Cham Soc Khach Hang,Cong Ty Co Phan Dat Duoc,TP HCM,12.5
Nhan Vien Telesale Cham Soc Khach Hang,Cong Ty Co Phan Dat Duoc,Khanh Hoa,12.5
"Truong Ban Marketing & Kinh Doanh Tai (Ho Chi Minh, Ha Noi, Can Tho)",Cong Ty TNHH Appsheet Viet Nam,Ha Noi,25.0
"Truong Ban Marketing & Kinh Doanh Tai (Ho Chi Minh, Ha Noi, Can Tho)",Cong Ty TNHH Appsheet Viet Nam,TP HCM,25.0
"Truong Ban Marketing & Kinh Doanh Tai (Ho Chi Minh, Ha Noi, Can Tho)",Cong Ty TNHH Appsheet Viet Nam,Can Tho,25.0
Nhan Vien Xu Ly Ho So Biet Tieng Anh Luong Toi 20 Trieu / Thang,"Cong Ty TNHH Tu Van Du Hoc, Dao Tao Ngoai Ngu Va Dich Vu Visa Vingate Global",Ha Noi,13.0
Nhan Vien Ban Hang (Dien - Nuoc - Vat Lieu Xay Dung),CONG TY TNHH ALEN,TP HCM,11.5
Nhan Vien Ban Hang (Dien - Nuoc - Vat Lieu Xay Dung),CONG TY TNHH ALEN,Ba Ria - Vung Tau,11.5
Nhan Vien Ban Hang (Dien - Nuoc - Vat Lieu Xay Dung),CONG TY TNHH ALEN,Binh Duong,11.5
Nhan Vien Ban Hang (Dien - Nuoc - Vat Lieu Xay Dung),CONG TY TNHH ALEN,Can Tho,11.5
Nhan Vien Ban Hang (Dien - Nuoc - Vat Lieu Xay Dung),CONG TY TNHH ALEN,Dong Nai,11.5
Truong Nhom Thu Hoi No Hien Truong,Cong Ty TNHH Atm Online Vietnam,TP HCM,16.0
Ke Toan Kho (Nhan Viec Sau Tet),Cong Ty Tnhh San Xuat Thuong Mai Hung Thinh Sai Gon,TP HCM,8.5
Nhan Vien QC - Tp.HCM,Cong TY TNHH Thuong Mai Tuong Van,TP HCM,8.5
Truong Ca - To Truong Nha Hang,Cong Ty TNHH Kgfood,TP HCM,10.5
Ke Toan Tong Hop,Cong Ty TNHH Tue Cat,Long An,12.5
Ke Toan Truong - Ha Noi,Cong Ty TNHH Spm Mien Nam,Ha Noi,17.5
Nhan Vien Ke Toan Tong Hop,Cong Ty TNHH May Quoc Te Viet Nam Nhat Ban,TP HCM,16.0
Chuyen Vien Ho Tro Khach Hang Thu Nhap Len Den 15Tr,Cong Ty Co Phan Cong Nghe Bookingcare,Ha Noi,11.5
Le Tan Van Phong - Phong Van Di Lam Ngay (Co The Nhan Viec Truoc Tet),Cong Ty Co Phan Vien Thong Dong Duong,Ha Noi,8.5
Nhan Vien Ky Thuat Giam Sat. (Dien Cong Nghiep),Cong Ty TNHH XD TM KT T&t,Ba Ria - Vung Tau,10.0
Nhan Vien Kinh Doanh,Cong Ty TNHH Ban Le Phuong Nam,TP HCM,8.5
Nhan Vien Mua Hang,Cong Ty TNHH Sks Furniture,Binh Duong,15.0
Nhan Vien Chung Tu Xuat Nhap Khau,Cong Ty Co Phan Tap Doan Sai Gon Tien Doan,TP HCM,12.5
"Ky Su Xay Dung Cong Trinh (Giao Thong, Thuy Loi, Cang Bien, May Xay Dung), Chua Co Kinh Nghiem Duoc Dao Tao",Cong Ty CP Cau Duong 10,Can Tho,15.0
"Ky Su Xay Dung Cong Trinh (Giao Thong, Thuy Loi, Cang Bien, May Xay Dung), Chua Co Kinh Nghiem Duoc Dao Tao",Cong Ty CP Cau Duong 10,Kien Giang,15.0
"Ky Su Xay Dung Cong Trinh (Giao Thong, Thuy Loi, Cang Bien, May Xay Dung), Chua Co Kinh Nghiem Duoc Dao Tao",Cong Ty CP Cau Duong 10,Tra Vinh,15.0
Nhan Vien Bao Ve,Cong Ty TNHH P&C Warehouse Logistics,Binh Duong,8.5
Nhan Vien Dich Vu Khach Hang Ngan Hang,Lienvietpostbank - Ngan Hang Buu Dien Lien Viet,Ha Noi,13.0
Nhan Vien Ke Toan Tong Hop (Chuyen Nganh Logistics),Cong Ty TNHH TT Global Cargo,TP HCM,9.5
Nhan Vien Tu Van Khoa Hoc,Cong Ty TNHH Dich Vu Giao Duc Poly,TP HCM,14.0
Chuyen Vien Thu Hoi No Qua Dien Thoai,Cong Ty TNHH Atm Online Vietnam,TP HCM,18.5
Digital Marketing Executive,Opus Saigon & Hoi An Sense (Cong Ty TNHH TM Va DV Sai Gon Phuong Dong),TP HCM,12.5
Quan Ly Nha Hang Dookki Aeon Binh Tan (Biet Tieng Han),Cong Ty TNHH Young Jun F&b,TP HCM,13.5
"Nhan Vien CSKH - Ruby Tay Ho (Kenh Email, Fanpage, Dien Thoai)",Cong Ty TNHH Cong Nghe Dich Vu Ruby,Ha Noi,10.5
"Nhan Vien CSKH - Ruby Tay Ho (Kenh Email, Fanpage, Dien Thoai)",Cong Ty TNHH Cong Nghe Dich Vu Ruby,TP HCM,10.5
Nhan Vien Kinh Doanh,Cong Ty TNHH MTV Ky Thuat Tl Cong,TP HCM,15.0
Nhan Vien Kinh Doanh,Cong Ty TNHH MTV Ky Thuat Tl Cong,Binh Duong,15.0
Ky Su M&E,Cong Ty TNHH Mot Thanh Vien Elek,TP HCM,17.5
Ky Su M&E,Cong Ty TNHH Mot Thanh Vien Elek,Binh Duong,17.5
"Can Bo Ky Thuat Hien Truong Tai Quang Binh, Ha Tinh",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Ha Tinh,16.0
"Can Bo Ky Thuat Hien Truong Tai Quang Binh, Ha Tinh",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Nghe An,16.0
"Can Bo Ky Thuat Hien Truong Tai Quang Binh, Ha Tinh",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Quang Binh,16.0
"Can Bo Ky Thuat Hien Truong Tai Quang Binh, Ha Tinh",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Quang Tri,16.0
"Can Bo Ky Thuat Hien Truong Tai Quang Binh, Ha Tinh",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Thua Thien Hue,16.0
"Chi Huy Cong Trinh (Giam Doc Ban Dieu Hanh) - Tai Quang Binh, Ha Tinh",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Ha Tinh,40.0
"Chi Huy Cong Trinh (Giam Doc Ban Dieu Hanh) - Tai Quang Binh, Ha Tinh",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Nghe An,40.0
"Chi Huy Cong Trinh (Giam Doc Ban Dieu Hanh) - Tai Quang Binh, Ha Tinh",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Quang Binh,40.0
"Chi Huy Cong Trinh (Giam Doc Ban Dieu Hanh) - Tai Quang Binh, Ha Tinh",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Quang Tri,40.0
"Chi Huy Cong Trinh (Giam Doc Ban Dieu Hanh) - Tai Quang Binh, Ha Tinh",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Thua Thien Hue,40.0
Nhan Vien Dich Vu Ky Thuat May Moc (Di Lam Ngay Hoac Sau Tet),Cong Ty CP May Va Phu Tung T&c,Ha Noi,11.0
Nhan Vien Ke Toan Du An,Cong Ty TNHH Bao Bi Giay Viet Trung,TP HCM,9.0
Nhan Vien Ke Toan Du An,Cong Ty TNHH Bao Bi Giay Viet Trung,Long An,9.0
"Ke Toan Cong Truong Tai Quang Binh, Ha Tinh, Nghe An",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Ha Tinh,14.5
"Ke Toan Cong Truong Tai Quang Binh, Ha Tinh, Nghe An",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Nghe An,14.5
"Ke Toan Cong Truong Tai Quang Binh, Ha Tinh, Nghe An",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Quang Binh,14.5
"Ke Toan Cong Truong Tai Quang Binh, Ha Tinh, Nghe An",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Quang Tri,14.5
"Ke Toan Cong Truong Tai Quang Binh, Ha Tinh, Nghe An",Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Thua Thien Hue,14.5
Can Bo Ky Thuat Trac Dac,Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Ha Tinh,16.0
Can Bo Ky Thuat Trac Dac,Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Nghe An,16.0
Can Bo Ky Thuat Trac Dac,Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Quang Binh,16.0
Can Bo Ky Thuat Trac Dac,Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Quang Tri,16.0
Can Bo Ky Thuat Trac Dac,Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Thua Thien Hue,16.0
Can Bo Ke Hoach Ky Thuat Tai Ha Noi,Cong Ty 36.20 - Chi Nhanh Tong Cong Ty 36 - Ctcp,Ha Noi,17.5
Tro Ly Biet Bien Phien Dich (Tieng Anh +Tieng Nhat),Cong Ty TNHH Zeng Hsing Industrial,Binh Duong,25.0
"Giam Sat Nha Hang - Quan 2, Quan 5",Cong Ty Co Phan Dau Tu Vien Ngoc Moi,TP HCM,11.0
Nhan Vien Ban Hang Thoi Trang Mlb Tai Vincom Ba Trieu Va Aeon Ha Dong,Cong Ty Co Phan Maison Retail Management International,Ha Noi,10.0
Ke Toan Cong Trinh,Cong Ty TNHH Xay Dung Thuong Mai Va Che Bien Lam San Thang Long,Ha Noi,9.0
Nhan Vien Phong Quan Ly Chat Luong Tai Hai Duong,Cong Ty TNHH Thiet Bi Hoa Chat Nakagawa Viet Nam,Hai Duong,11.0
Cua Hang Truong Nhan Viec Ngay (Tp. HCM Va Ha Noi),Cong Ty TNHH Triple Tree Aroma,Ha Noi,12.0
Cua Hang Truong Nhan Viec Ngay (Tp. HCM Va Ha Noi),Cong Ty TNHH Triple Tree Aroma,TP HCM,12.0
[Ha Noi] Nhan Vien Bao Tri Cua Hang TH Truemart,Cong ty CP Chuoi Thuc Pham TH,Ha Noi,10.5
Ke Toan Truong - Huyen Nha Be,Cong Ty TNHH Thuong Mai Nhat Thong,TP HCM,19.0
Nhan Vien Bep - Di Lam Ngay,CONG TY CP TM DV TRA CA PHE VN - THE COFFEE HOUSE,TP HCM,7.5
Nhan Vien Van Hanh May,Cong Ty TNHH Nestle Viet Nam,Dong Nai,8.5
Hue - Nhan Vien Phat Trien Thi Truong (Phu Trach Kenh Dai Ly),Cong Ty TNHH Nabati Viet Nam,Thua Thien Hue,11.0
Ha Tinh - Giam Sat Ban Hang Kenh GT Banh Nabati,Cong Ty TNHH Nabati Viet Nam,Ha Tinh,13.0
Nhan Vien Hanh Chinh Tong Hop,Tap Doan Tan A Dai Thanh,Ha Noi,7.5
Nhan Vien Ky Thuat IT Phan Cung,Cong Ty TNHH Khoa Hoc Ky Thuat Tuong Huu,Da Nang,10.0
Nhan Vien Kinh Doanh Thi Truong - Bac Trung Bo,CONG TY TNHH SAINT- GOBAIN VIET NAM,Quang Nam,16.0
Nhan Vien Kinh Doanh Thi Truong - Bac Trung Bo,CONG TY TNHH SAINT- GOBAIN VIET NAM,Quang Ngai,16.0
Nhan Vien Kinh Doanh Thi Truong - Bac Trung Bo,CONG TY TNHH SAINT- GOBAIN VIET NAM,Quang Tri,16.0
Nhan Vien Kinh Doanh Thi Truong - Bac Trung Bo,CONG TY TNHH SAINT- GOBAIN VIET NAM,Da Nang,16.0
Ke Toan Tong Hop,Cong Ty TNHH Phat Trien Dau Tu Va San Xuat Thai Duong,TP HCM,13.5
"Vinbus - Chuyen Vien An Ninh An Toan, Thanh Tra Tuyen",Cong Ty TNHH Dich Vu Van Tai Sinh Thai Vinbus,Ha Noi,12.5
Vinbus - Chuyen Vien Marketing,Cong Ty TNHH Dich Vu Van Tai Sinh Thai Vinbus,Ha Noi,12.5
Vinbus - Tiep Vien Xe Buyt Dien,Cong Ty TNHH Dich Vu Van Tai Sinh Thai Vinbus,Ha Noi,12.5
Lai  Xe Hang D - E Tai Ha Noi - Di Lam Ngay,Cong Ty TNHH MTV Van Tai Va Du Lich Jac,Ha Noi,11.5
Chuyen Vien IT Ho Tro Marketing,Cong Ty TNHH Knight Logistics,TP HCM,9.0
Nhan Vien Van Phong (Di Lam Truoc Tet),CONG TY TRACH NHIEM HUU HAN MOT THANH VIEN NGOC DANH O TO,TP HCM,8.5
Nhan Vien Van Hanh May Phay CNC - Co The Phong Van Va Nhan Viec Sau Tet,Cong Ty TNHH MTV Mai Fa,Binh Duong,11.5
Trinh Duoc Vien,Cong Ty TNHH Thiet Bi Y Te An Duoc,TP HCM,17.5
Trinh Duoc Vien,Cong Ty TNHH Thiet Bi Y Te An Duoc,Long An,17.5
Ky Su Co Khi  - (Co The Phong Van Va Nhan Viec Sau Tet),Cong Ty TNHH MTV Mai Fa,Binh Duong,17.5
Nhan Vien Ke Toan Noi Bo (Di Lam Ngay),Cong Ty Co Phan Xay Dung Va Xuat Nhap Khau Hth,Ha Noi,9.0
Ke Toan Truong,Cong Ty TNHH Tbes,TP HCM,19.0
Nhan Vien Kinh Doanh Kenh Truyen Thong (GT) Khu Vuc TPHCM,Cong Ty TNHH Lien And Alliance,TP HCM,11.5
Nhan Vien Kinh Doanh Kenh Truyen Thong (GT) Khu Vuc TPHCM,Cong Ty TNHH Lien And Alliance,Binh Duong,11.5
Nhan Vien Kinh Doanh Kenh Truyen Thong (GT) Khu Vuc TPHCM,Cong Ty TNHH Lien And Alliance,Dong Nai,11.5
Nhan Vien Kinh Doanh Chuyen Tuyen Dai Loan Di Lam Sau Tet,Cong Ty Co Phan Dich Vu Thuong Mai XNK Quy Nam Sai Gon,TP HCM,25.0
Nu Nhan Vien Content Marketing,Cong Ty TNHH Thuong Mai - Che Tao May Ba Mien,TP HCM,10.0
