name,company,location,average_salary
Nhan Vien Van Hanh May [Tap Doan Phap],Cong Ty TNHH Camso Viet Nam,Binh Duong,8.5
Nhan Vien Kinh Doanh Du An Noi That (Luong Co Ban Toi 12 Trieu + Thuong % Kpi),Cong Ty TNHH Kien Truc Milan,Ha Noi,25.0
Account Manager,Cong Ty TNHH Creasia,TP HCM,34.0
Ky Su Hien Truong- Noi Nghiep Cong Trinh Giao Thong Ha Tang Ky Thuat,Cong Ty TNHH Thuong Mai Va Xay Dung Alpha Sai Gon,TP HCM,23.0
Can Bo Ky Thuat - Giam Sat Hien Truong Du An (Di Lam Sau Tet),Cong Ty TNHH Hop Tien,Ha Nam,15.0
Nhan Vien IT Help Desk - Tp. Thu Duc (Co The Nhan Viec Sau Tet),Cong ty TNHH Tu van & Dao Tao Dai Duong,TP HCM,11.5
Nhan Vien Ban Hang - San Bay Tan Son Nhat,Cong Ty Co Phan Song Viet,TP HCM,7.0
Nhan Vien Marketing Thu Nhap 10-18 Trieu,Cong ty TNHH thuong mai va ky thuat Movis Viet Nam,Ha Noi,14.0
Nhan Vien Cham Soc Xe Phan Khoi Lon / Detailing Specialist - Big Bike Hanoi,Cong Ty TNHH Yamaha Motor Viet Nam,Ha Noi,8.5
Nhan Vien Co Khi Dung May CNC Lam Tai Q7,Cong ty TNHH Lap Phuc,TP HCM,8.5
Truong Phong Kinh Doanh,Cong Ty TNHH Cua So Viet Chau A Aseanwindow,TP HCM,18.5
Nhan Vien Dieu Duong Tai Nhat Ban (Toan Quoc - Ky Thang 10 / 2023),Cong Ty TNHH V&j Human Resource School,Ha Noi,40.0
Nhan Vien Dieu Duong Tai Nhat Ban (Toan Quoc - Ky Thang 10 / 2023),Cong Ty TNHH V&j Human Resource School,TP HCM,40.0
Nhan Vien Dieu Duong Tai Nhat Ban (Toan Quoc - Ky Thang 10 / 2023),Cong Ty TNHH V&j Human Resource School,Binh Dinh,40.0
Nhan Vien Dieu Duong Tai Nhat Ban (Toan Quoc - Ky Thang 10 / 2023),Cong Ty TNHH V&j Human Resource School,Gia Lai,40.0
Nhan Vien Dieu Duong Tai Nhat Ban (Toan Quoc - Ky Thang 10 / 2023),Cong Ty TNHH V&j Human Resource School,Da Nang,40.0
Nhan Vien Kinh Doanh Thiet Bi Y Te (Smartdental) - Luong Tren 20-30Tr,"Cong Ty CP Tb Nha Khoa Thong Minh Viet Nam - Smartdental,. Jsc",Ha Noi,25.0
Nhan Vien Thu Hoi No Qua Dien Thoai,Cong Ty Co Phan Kredivo Viet Nam,TP HCM,12.5
Nhan Vien Ban Hang Ha Noi (Full Time / Part Time),Cong Ty TNHH Mot Thanh Vien Thuong Mai Va Dau Tu Lien A Chau,Ha Noi,6.5
Nhan Vien Ban Hang Ha Noi (Full Time / Part Time),Cong Ty TNHH Mot Thanh Vien Thuong Mai Va Dau Tu Lien A Chau,TP HCM,6.5
